,image_name,path_to_image_dir,path_to_model,label_filename,path_to_label_dir,path_to_saved_model,image_size,scale,detection_boxes,detection_classes,raw_detection_scores,detection_multiclass_scores,raw_detection_boxes,detection_anchor_indices,detection_scores
10,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.74168545 0.4521621  0.7599316  0.4714675 ],2,[0.18382588 0.8137145  0.00245959],[0.43621087 0.00241739 0.5613718 ],[0.75806653 0.4689109  0.7786312  0.4886708 ],17.0,0.5613718
11,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.51293516 0.54398507 0.5345665  0.56582636],2,[7.3782587e-01 3.7228176e-04 2.6180178e-01],[0.438372   0.00390319 0.5577248 ],[0.16009247 0.93111324 0.18198761 0.95484114],33.0,0.5577248
12,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.6722015  0.43692666 0.6900804  0.45636797],2,[9.8243111e-01 2.4800216e-05 1.7544085e-02],[4.5443571e-01 3.9321222e-04 5.4517114e-01],[0.10931904 0.9621133  0.1270605  0.9804222 ],22.0,0.54517114
13,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.20811585 0.97035396 0.2282983  0.9915794 ],2,[9.2463636e-01 6.5291228e-05 7.5298399e-02],[0.47768536 0.00219168 0.520123  ],[0.24144661 0.9536193  0.26087475 0.97273856],149.0,0.520123
14,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.69243294 0.5148013  0.70889    0.53482085],2,[0.22192924 0.00183104 0.77623975],[0.50850135 0.00072279 0.49077588],[0.527145   0.5614668  0.5499207  0.58385575],65.0,0.49077588
15,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.68816024 0.4068604  0.70677453 0.4274807 ],2,[0.43621087 0.00241739 0.5613718 ],[0.5572045  0.00117031 0.44162518],[0.74168545 0.4521621  0.7599316  0.4714675 ],43.0,0.44162518
16,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.6634095 0.527288  0.6801591 0.5452569],2,[0.431131   0.00194473 0.56692433],[0.59932506 0.00061827 0.40005666],[0.20922348 0.92396665 0.22988021 0.9458022 ],42.0,0.40005666
17,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.63849056 0.5058836  0.6588597  0.52678335],2,[9.5139906e-02 4.6255204e-04 9.0439749e-01],[0.60453653 0.0006929  0.3947706 ],[0.08288641 0.69814014 0.10968767 0.7256025 ],296.0,0.3947706
18,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.68212336 0.42740953 0.7014479  0.4506113 ],2,[0.9002377  0.00127992 0.09848238],[0.61024255 0.00101184 0.38874555],[0.20173042 0.92353463 0.22202499 0.94696784],111.0,0.38874555
19,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.08713293 0.7941566  0.1096663  0.81524414],2,[4.5443571e-01 3.9321222e-04 5.4517114e-01],[0.6279211  0.00108889 0.37098992],[0.6722015  0.43692666 0.6900804  0.45636797],108.0,0.37098992
20,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.17607504 0.9527372  0.19600174 0.9728668 ],2,[8.0674827e-01 2.7605565e-04 1.9297576e-01],[0.5958022  0.03555018 0.3686476 ],[0.68978614 0.48924378 0.7080198  0.50930667],95.0,0.3686476
21,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.7093187  0.42169458 0.7273237  0.4420064 ],2,[0.7233525  0.00155444 0.27509302],[0.65902287 0.00201422 0.33896288],[0.711689   0.51688546 0.72951114 0.5354809 ],18.0,0.33896288
22,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.65498126 0.45165938 0.67339015 0.47082108],2,[0.20575179 0.7929148  0.00133345],[6.6674316e-01 1.6090753e-04 3.3309591e-01],[0.77407026 0.4462371  0.7909875  0.46480435],56.0,0.3330959
23,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.7146176  0.5214478  0.73214674 0.5382261 ],2,[9.5074719e-01 2.6274537e-04 4.8990048e-02],[0.67967737 0.00233753 0.3179851 ],[0.6718779 0.5066495 0.6861455 0.5230285],101.0,0.3179851
24,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.1409984  0.97370607 0.16274807 0.99531454],2,[0.573059   0.00074988 0.42619112],[7.2224969e-01 2.7764289e-04 2.7747265e-01],[0.69004005 0.5182441  0.70584863 0.535258  ],148.0,0.27747265
25,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.16009247 0.93111324 0.18198761 0.95484114],2,[8.9686900e-01 5.4441497e-04 1.0258654e-01],[7.3782587e-01 3.7228176e-04 2.6180178e-01],[0.11463434 0.7325493  0.13682364 0.75448954],11.0,0.26180178
26,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.13590145 0.7423705  0.16064179 0.7685813 ],2,[9.3848073e-01 8.8670808e-05 6.1430547e-02],[7.4553889e-01 3.7312027e-04 2.5408807e-01],[0.11827373 0.981616   0.13907218 0.99720836],29.0,0.25408807
27,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.6733962  0.50514585 0.69038856 0.52315396],2,[0.5187427  0.4738171  0.00744017],[0.7880074  0.00118322 0.21080941],[0.70081586 0.5597565  0.71811575 0.57661057],50.0,0.21080941
28,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.7329439 0.4738156 0.7558893 0.496618 ],2,[0.7915518  0.00087335 0.20757495],[8.0129045e-01 1.5899933e-04 1.9855051e-01],[0.6743631  0.5080792  0.68961734 0.52511203],82.0,0.1985505
29,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.68978614 0.48924378 0.7080198  0.50930667],2,[0.36534888 0.6333134  0.00133773],[8.0674827e-01 2.7605565e-04 1.9297576e-01],[0.7722215  0.44519275 0.7907612  0.46478075],23.0,0.19297576
30,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.62939966 0.48749304 0.6489229  0.5080062 ],2,[9.4766945e-01 2.4913816e-04 5.2081451e-02],[8.178595e-01 4.721444e-04 1.816684e-01],[0.11175101 0.8248763  0.13201715 0.84565556],175.0,0.1816684
31,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.72269845 0.43196085 0.74213517 0.45442227],2,[9.7239953e-01 2.2150396e-05 2.7578276e-02],[8.183811e-01 6.315198e-04 1.809874e-01],[0.13373993 0.83081394 0.15321432 0.8514704 ],114.0,0.1809874
32,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.7331049  0.5150281  0.7525937  0.53327775],1,[0.5572045  0.00117031 0.44162518],[0.83211815 0.16482845 0.0030535 ],[0.68816024 0.4068604  0.70677453 0.4274807 ],61.0,0.16482845
33,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.6642074  0.54569024 0.6820058  0.5648735 ],2,[0.603228   0.0028941  0.39387786],[8.3731318e-01 2.0997119e-04 1.6247682e-01],[0.73914707 0.45092374 0.75974023 0.47226197],122.0,0.16247682
34,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.09967369 0.8087871  0.1187022  0.8288392 ],2,[0.4483391  0.00256124 0.5490996 ],[8.4138733e-01 4.4987064e-05 1.5856762e-01],[0.7156191 0.5398089 0.7337643 0.5583499],255.0,0.15856762
35,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.09890507 0.77168024 0.11954071 0.796095  ],2,[0.23738635 0.76101345 0.00160023],[8.4547102e-01 1.5274093e-04 1.5437631e-01],[0.77387804 0.44327545 0.79052037 0.46286678],81.0,0.15437631
36,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.08729183 0.67041826 0.11211265 0.69410825],2,[8.5796702e-01 7.7672310e-05 1.4195529e-01],[0.8887697  0.00124712 0.10998324],[0.09881567 0.77251184 0.12116719 0.79872715],210.0,0.109983236
37,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.72857815 0.536359   0.7451367  0.55399984],2,[6.6674316e-01 1.6090753e-04 3.3309591e-01],[8.9526546e-01 1.8803088e-04 1.0454647e-01],[0.65498126 0.45165938 0.67339015 0.47082108],152.0,0.10454647
38,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.11463434 0.7325493  0.13682364 0.75448954],2,[9.8666835e-01 1.0143461e-05 1.3321528e-02],[8.9686900e-01 5.4441497e-04 1.0258654e-01],[0.6664119 0.4921627 0.6812571 0.5070997],34.0,0.10258654
39,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.48972178 0.51558787 0.5117645  0.5377427 ],2,[9.7314161e-01 7.5940380e-04 2.6098983e-02],[9.036228e-01 6.871292e-05 9.630846e-02],[0.21018459 0.92411834 0.23184384 0.9497413 ],264.0,0.09630846
40,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.15229873 0.81536597 0.17518653 0.8422927 ],2,[0.83211815 0.16482845 0.0030535 ],[9.1362619e-01 4.0891773e-05 8.6332962e-02],[0.7331049  0.5150281  0.7525937  0.53327775],125.0,0.08633296
41,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.1968999 0.9474539 0.2172196 0.9690886],2,[8.3099246e-01 3.7928970e-04 1.6862828e-01],[0.9171978  0.00175594 0.08104616],[0.69122434 0.48720518 0.71025705 0.5074105 ],289.0,0.08104616
42,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.24144661 0.9536193  0.26087475 0.97273856],2,[0.50850135 0.00072279 0.49077588],[9.2463636e-01 6.5291228e-05 7.5298399e-02],[0.69243294 0.5148013  0.70889    0.53482085],14.0,0.0752984
43,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.13618372 0.72110814 0.16074456 0.7444406 ],2,[0.8434386  0.15348437 0.00307696],[9.2941314e-01 7.6967692e-05 7.0509821e-02],[0.73641664 0.51781875 0.7540187  0.53493565],187.0,0.07050982
44,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.6827889  0.4641701  0.70300764 0.48643237],2,[0.5437403  0.44981164 0.00644815],[9.3418002e-01 1.1788369e-04 6.5702043e-02],[0.6999314  0.5631051  0.71713734 0.58036494],73.0,0.06570204
45,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.5070461  0.52782196 0.5272305  0.54675204],2,[9.9971443e-01 1.5223947e-08 2.8553291e-04],[9.3535155e-01 7.7535224e-05 6.4570926e-02],[0.17794865 0.9296869  0.20040962 0.9546677 ],242.0,0.064570926
46,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.276476   0.01061914 0.29582807 0.03218957],2,[9.9508673e-01 4.6033138e-06 4.9086404e-03],[9.3654495e-01 7.8738580e-05 6.3376352e-02],[0.73544866 0.47746116 0.75726324 0.5000144 ],75.0,0.06337635
47,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.11827373 0.981616   0.13907218 0.99720836],2,[9.6974641e-01 7.7438221e-05 3.0176176e-02],[9.3848073e-01 8.8670808e-05 6.1430547e-02],[0.7172616  0.40037417 0.73930424 0.4240802 ],35.0,0.061430547
48,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.15901925 0.73301    0.1801763  0.753658  ],2,[9.5439911e-01 3.8737926e-04 4.5213513e-02],[9.3977940e-01 8.7680470e-05 6.0132887e-02],[0.6978847  0.5425617  0.71154    0.55649585],207.0,0.060132887
49,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.7213472 0.5149148 0.7383417 0.5322836],2,[9.2665631e-01 5.6771474e-04 7.2776005e-02],[9.4275761e-01 3.1824684e-04 5.6924120e-02],[0.69379175 0.4273004  0.7153156  0.45137703],215.0,0.05692412
50,20000X_0043,input/images/20000X_0043.jpeg,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/,label_map_multiclass.pbtxt,trained_models/annotations/label_map_multiclass.pbtxt,trained_models/my_faster_rcnn_resnet50_1024x1024_multiclass_steps6k/saved_model,"[4095, 4091]",1.7654,[0.7270052  0.45143452 0.7449874  0.47371855],2,[9.4538283e-01 6.7173729e-05 5.4550000e-02],[9.4372463e-01 2.7602314e-04 5.5999294e-02],[0.11615063 0.7593062  0.14143617 0.7866832 ],115.0,0.055999294
